recall_number,classification,reason_for_recall,product_description,report_date
D-1303-2016,Class II,Lack of Assurance of Sterility,"Norepinephrine Bitartrate 8mg Added to 5% Dextrose 250 mL bag, Rx Only, Compounded by PHARMAKON Pharmaceuticals, Noblesville, IN 46060, NDC 45183-0806-02",20160720
D-661-2015,Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Ethinyl Estradiol active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",20150429
D-1863-2019,Class II,Failed Impurities/Degradation Specificattion,"Oxcarbazepine Oral Suspension, USP, 300 mg/5 mL, 250 mL per bottle, Rx Only, Distr. by: West-Ward Pharmaceuticals,Eatontown, NJ. NDC:0054-0199-59",20190925
D-1074-2019,Class II,Discoloration: Expansion of an earlier recall due to the presence of dark brown discoloration on the edges of the tablets.,"Pantoprazole Sodium Delayed-Release Tablets, USP, 40 mg*, 90-count bottle, Rx Only, Manufactured by: Jubilant Generics Ltd., Roorkee - 247661, India; Marketed by: Jubilant Cadista Pharmaceuticals Inc., Salisbury, MD  21801; NDC 59746-284-90.",20190410
D-0971-2015,Class II,Chemical Contamination: Product recalled due to an elevated level of a residual solvent impurity in the API that exceeds the Threshold of Toxicological Concern (TTC) calculation for the impurity.,"Fluoxetine Capsules USP, 20 mg, packaged in a) 500-count bottles (NDC 50111-648-02), and (b) 1000- count bottles (NDC 50111-648-03), Rx only, Manufactured by Pliva Krakow Pharmaceutical Company S.A., Krakow, Poland; Manufactured for Teva Pharmaceuticals USA, Sellersville, PA 18960",20150506
D-0607-2019,Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Headache Relief, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955515326, NDC 57955-5153-2",20190320
D-0401-2021,Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,NIACIN 250MG 110; NDC/UPC 740985228494; OTC; TABLETS,20210602
D-1395-2012,Class II,Subpotent (Single Ingredient Drug): Low assay at the 6-month test interval.,"Thyro-Tab.075 mg., packaged in bulk drums for repackaging. The firm name on the label is Lloyd Pharmaceutical, Shenandoah, Iowa 51601.",20120704
D-1200-2015,Class II,Lack of Assurance of Sterility: Sterility of product is not assured.,"Morphine Sulfate, MORPHINE SULFATE 1000mg / NS 100mL, Qty: 1 50 mL Bag, Rx Only.  Compounded by: United Medical IV Center (Little Rock) 1527 South Bowman Rd. Ste. D Little Rock, AR 72211-4200.",20150708
D-1494-2016,Class II,CGMP Deviations,"ARGATROBAN Injection in 0.9% Sodium Chloride 250 mg/250 mL (1 mg/mL) , Rx Only, Manufactured in Hungary for TEVA PHARMACEUTICALS USA, INC., North Wales, PA 19454, NDC# 0703-0020-31 (Single Use Bag), NDC # 0703-0020-32 (5 Single Use Bags in One Carton).",20160914
D-0038-2025,Class II,Crystallization,"Dapsone Gel 7.5%, 60 gram pump, Rx Only, Manufactured by: Zydus Lifesciences Ltd., Ahmedabad, India, Distributed by: Viona Pharmaceuticals Inc., Cranford, NJ 07016, NDC 72578-094-02.",20241113
D-0276-2024,Class II,Failed Dissolution Specifications,"Budesonide Extended-Release Tablets, 9 mg, 30-count bottles, Rx only, Marketed by: GSMS, Incorporated, Camarillo, CA, UPC 5140782430, NDC 51407-824-30",20240207
D-0363-2022,Class I,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,"kleantouch HAND SANITIZER (ethyl alcohol 70%), 8.0 FL OZ (236 ML), pump bottles, Distributed by: Valisa MFG, LLC, Farmingdale, NY, 11735, Made in USA, UPC 6 86162 99246 1",20220105
D-0643-2020,Class II,CGMP Deviations: Presence of NDMA impurity detected in product.,"Glenmark Ranitidine Tablets USP 300 mg Rx Only 250 Tablets Manufactured by: Glenmark Pharmaceuticals Ltd. Colvale-Bandez, Goa 403513, India Manufactured for: Glenmark Pharmaceuticals Inc., USA Mahwah, NJ   NDC 68462-249-20",20200115
D-0776-2019,Class I,Microbial contamination,"Dr. King's SafeCare Rx CS-Breast, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955021421, NDC 57955-0214-2",20190320
D-0631-2022,Class I,"Marketed Without an Approved NDA/ANDA: FDA analysis found the product to be tainted with undeclared sibutramine, a previously approved drug that was withdrawn from the US market due to safety concerns.","365 SKINNY High Intensity Capsules, 600 mg,  30-count bottle, BODY BALANCE INTERNACIONAL",20220223
D-0931-2023,Class II,Lack of Assurance of Sterility,"Norepinephrine 4 mg per 250 mL (16 mcg per mL) in 0.9% Sodium Chloride, 250 mL Single Dose bag, packaged in 250 mL x 12 units per case, Rx only, SterRx, 141 Idaho Ave., Plattsburgh, NY  12903, NDC 70324-552-01.",20230726
D-0820-2023,Class II,CGMP Deviations: Firm went out of business and could no longer continue stability studies.,"Levofloxacin Ophthalmic Solution, 0.5%, 5 mL bottles, Rx Only, Manufactured by: Akorn, Inc., Lake Forest, IL 60045.  ALL NDCs",20230607
D-946-2015,Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Uridine-5'Triphosphate Trisodium Salt active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",20150429
D-1523-2015,Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"HCG 1,250 IU/ml Injection, Multi-Dose Vial, Sterile, Refrigerate The Compounding Pharmacy of America, Knoxville, TN",20150923
D-0121-2024,Class II,Failed Impurities/Degradation Specifications-Out of specification (OOS) results for the excipient Amadori Glucose adduct of Paroxetine,"Paroxetine Hydrochloride Tablets USP, RX only, 30 mg, a)30-count bottle, NDC#: 60505-0084-1, b)100-count bottle, NDC#:60505-0084-2, c)1000-count bottle, NDC#: 60505-0084-4, Manufactured by: Apotex Inc., Toronto, Ontario, Canada M9L 1T9, Manufactured for: Apotex Corp., Weston, Florida 33326.",20231206
D-0160-2019,Class II,Lack of Assurance of Sterility,"HCG Lyopholized 1200 IU Injectable, Pharm D Solutions, Houston, Texas ---- NDC 69699-1743-12",20181107
D-1514-2020,Class II,CGMP Deviations: Light sensitive drug products repackaged in transparent/partially transparent pouches.,"Hydrochlorothiazide 25mg tablets, Distributed by: Calvin Scott & Co., Inc. Albuquerque, NM 87123, Mfg: Accord Healthcare, Inc, Durham, NC 27703, NDC 16729-0183-17",20200826
D-1564-2012,Class II,Lack of Assurance of Sterility: Franck's Lab Inc. initiated a recall of all Sterile Human Drugs distributed between 11/21/2011 and 05/21/2012. FDA environmental sampling revealed the presence of microorganisms and fungal growth in the clean room where sterile products were prepared.,LISSAMINE GREEN SOLUTION 1% OPHTHALMIC	10 ML  (1 PRODUCT),20120822
D-1099-2022,Class II,cGMP deviations: Temperature abuse,"Thrombin JMI, Vial 5,000IU 2/diluent, kit, Rx only, MFG: Pfizer   NDC 60793-215-05",20220615
D-0042-2018,Class II,Subpotent Drug,"Oxytocin 30 units added to 1000 mL 5% Dextrose/Lactated Ringer's USP in 1000 mL bag, Rx Only, Compounded by PharMEDium Services, LLC. 12620 W. Airport Blvd. #130 Sugar Land, TX 77478,  NDC# 71019-242-02",20171101
D-1417-2012,Class III,Impurities/Degradation Products: High Out of Specification results for a known impurity resulted at the 12-month room temperature time point.,"HYDROXYZINE HYDROCHLORIDE ORAL SOLUTION, USP, 10 mg/5 mL, 1 PINT (473 mL) bottle, Rx only, Mfg. for:  QUALITEST PHARMACEUTICALS, HUNTSVILLE, AL 35811, NDC 0603-1310-58, UPC 3 0603-1310-58 4.",20120725
D-1549-2015,Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"Hydromorphone 30 mg/ml Solution, Sterile-Preservative Free, The Compounding Pharmacy of America, Knoxville, TN",20150923
D-0332-2019,Class II,"GCMP Deviations: FDA analysis confirmed presence of trace amounts of an impurity, N-nitrosodiethylamine (NDEA) found in the API used to manufacture the product.","Valsartan and Hydrochlorothiazide Tablets, USP 320/25 mg, (a) 90-count bottle (NDC 0378-6325-77), (b) 500-count bottles (NDC 0378-6325-05), Rx Only, Made in India, Manufactured for: Mylan Pharmaceuticals, Inc., Morgantown, WV 26505 U.S.A.",20181219
D-0641-2017,Class I,Presence of particulate matter - this recall is due to a recent Hospira recall of vancomyicn hydrochloride 10gm vials due to presence of particulate matter.,"Vancomycin HCl 1.25 g added to 0.9% Sodium Chloride 250 mL Bag For IV Use Only, Rx Only, SCA Pharmaceuticals, Little Rock, AR 72205, NDC 70004-0923-59",20170412
D-0558-2024,Class II,"Marketed Without An Approved NDA/ANDA: FDA laboratory analysis found the product to contain undeclared diclofenac and methocarbamol,","OSSOS-SANS Reforzado con: Glucosamina Curcuma Ortiga tablets, packaged in a 30-count bottle, DISTRIBUIDOR POR: Naturistas Especializados, Alce Blanco 180-A Fracc. Industrial, Edo. de Mexico C.P. 53370",20240626
D-1666-2012,Class II,Does Not Deliver Proper Metered Dose: Potential content of albuterol per dose is below specification.,"Ventolin HFA (albuterol sulfate) Inhalation Aerosol 90 mcg per actuation, 200 Metered Inhalations,  FOR ORAL INHALATION ONLY - For use with Ventolin HFA actuator only.  Net. wt. 18 g Rx only,  GlaxoSmithKline, Reasearch Triangle Park, NC 27709 NDC 0173-0682-20",20120905
D-0876-2023,Class II,Failed Dissolution Specifications: Out-of-specification results for dissolution (above specification),"Extended Phenytoin Sodium Capsules, USP, 100 mg, Rx Only, 100 capsules per bottle, Distributed by: Amneal Pharmaceuticals LLC., Bridgewater, NJ 08807, NDC 65162-212-10.",20230621
D-1550-2019,Class III,CGMP deviations: Stability testing was not conducted on manufactured sunscreen and hand sanitizer OTC products.,"TOOTSIE ROLL FRUIT CHEWS LIME SCENTED ANTIBACTERIAL HAND GEL (Ethyl Alcohol 62%), 1.35 fl oz / 40 mL, OTC, Distributed by: JFL Enterprises, Inc. Cleveland, Ohio 44102.",20190807
D-0253-2019,Class I,Microbial Contamination of Non-Sterile Products,"Native Remedies VaricoGo Oral Spray, 2 fl oz (59 mL) per bottle, Distributed by:  Silver Star Brands, Oshkosh, WI 54906.  NDC 68703-105-59",20181114
D-0790-2017,Class III,Cross contamination with other products: Certain lots of Fluocinonide Cream were found to be contaminated with a small quantity of hydrocortisone-17-valerate.,"Fluocinonide Cream UPS, 0.05% (Emulsified Base), packaged in 60 g tube, Rx only, Mfd. by: Taro Pharmaceuticals Inc., Brampton, Ontario, Canada, Dist. by Taro Pharmaceuticals U.S.A., Inc., Hawthorne, NY 10532,  NDC 51672-1254-3",20170524
D-0200-2019,Class II,Lack of Assurance of Sterility,"Trimix Papaverine/Phentolamine/Alprostadil 30 mg/1 mg/20 mcg Powder Pharm D Solutions, Houston, Texas --- NDC 69699-1366-02",20181107
D-1132-2020,Class II,CGMP Deviations: These products have been found to be misbranded as unapproved new drugs,"Herpes-G, 500mg Capsules, 90-count bottles, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",20200415
D-1047-2013,Class II,Lack of Assurance of Sterility: The product lots are being recalled due to laboratory results (from a contract lab) indicating microbial contamination. The FDA was concerned test results obtained from the recalling firm's contract testing lab may not be reliable. Hence the sterility of the products cannot be assured.,"Epinephrine 1:1,000 (1mg/mL) Sterile Solution for injection, Preservative Free/Sulfite Free, 1-mL Single-Use Syringe, Sterile Solution For Office Use Only, JCB Laboratories, Wichita, KS.",20130925
D-1487-2019,Class II,Lack of Assurance of Sterility: Bags have the potential to leak.,"Milrinone Lactate Injection 200 mcg (0.2 mg)/mL* in 5% Dextrose Injection, 20 mg/100 mL, 100 mL bag, Rx Only, Hospira, Inc., Lake Forest, IL 60045 USA,  NDC 0409-2776-23, Barcode (01)00304092776233.",20190724
D-0220-2023,Class II,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,"METHION/INOSIT/CHOLINE/CYANOCOBAL 25MG/50MG/50MG/1MG/ML (1ML VIAL) INJECTABLE; METHION/INOSIT/CHOLINE/METHYLCOBAL 15MG/50MG/100MG/1MG/ML (1ML VIAL) INJECTABLE; METHION/INOSIT/CHOLINE/RIBOFLA/NIACINAMIDE/PYRIDOX/ASCORBIC ACID 15.625MG/31.25MG/31.25MG/6.25MG/62.5MG/6.25MG/62.5MG/ML (1ML VIAL) INJECTABLE, Rx Only, Pharmacy Innovations, 2936 W 17th St., Erie, PA.",20230201
D-1612-2015,Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"Morphine 60 mg/ml Solution, Sterile-Preservative Free, The Compounding Pharmacy of America, Knoxville, TN",20150923
D-0004-2020,Class II,Lack of Assurance of Sterility: product sterility cannot be guaranteed.,"C-ALBUMIN 5% OPHTH SOLUTION, 10 mL droptainer bottles, Rx only, Colonia Care Pharmacy, 515 Inman Ave., Suite A, Colonia, N.J. 07067",20191009
D-0782-2018,Class II,Lack of Processing Controls.,Gleevec 100 mg tablet NDC 00078-0401-34 30 days supply,20180516
D-1499-2016,Class II,Presence of Foreign Tablets/Capsules: Firm received a market complaint stating the presence of one foreign tablet (Montelukast Sodium Chewable Tab 4mg) in the product bottle of Pantoprazole.,"Pantoprazole Sodium Delayed-Release Tablets USP, 40 mg Rx Only, 90 tablets per bottle, Manufactured for Aurobindo Pharma USA, Inc 2400 Route 130 North Dayton, NJ 08810, Manufactured by: Aurobindo Pharma Limited Unit-VII (SE2), Mahaboob Nagar (Dt) - 509302, India , NDC 65862-0560-90",20160921
D-745-2013,Class II,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,"Ketamine 100 mg/ml Injection, compounded by Olympia Pharmacy, Orlando, FL",20130717
D-884-2015,Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Roflumilast active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",20150429
D-184-2013,Class II,Lack of Assurance of Sterility: There is the potential for the solution to leak from the seal of the fill tube to the bag.,"HEXTEND 6% Hetastarch in Lactated Electrolyte Injection, 500 mL, Rx only , MANUFACTURED AND DISTRIBUTED BY HOSPIRA, INC., LAKE FOREST, IL 60045,  NDC 0409-1555-54",20130313
D-0154-2024,Class II,Labeling: Label Error on Declared Strength: Assay value on the label is incorrect.,"NYSTATIN 5BU, Activity (as is): 6482 Units/mg, bulk powder container, Rx Only, For Prescription Compounding,  Fagron, Inc. - 2400 Pilot Knob Rd. St Paul, MN 55120. NDC 51552-0041-5 Bar code 3 51552 00415 3",20231227
D-0237-2021,Class II,CGMP deviations: Lack of potency testing.,"HUMAN CHORIONIC GONADOTROPIN 1,250 IU per vial Aso contains Mannitol 9%, Sodium Phosphate 2% in water for injection. Lyophilized, Unpreserved. Complete Pharmacy & Medical Solutions 5829 NW 158th St, Miami Lakes, FL 33014 Tel: 305-397-2035",20210127
D-0142-2017,Class III,"Labeling Not Elsewhere Classified: front labels have the incorrect NDC or 0145-1506-01 instead of the correct NDC of 0145-1506-05 and some back labels have the incorrect indication stating ""use for the cure of most jock itch"" rather than ""use for the cure of most athlete's foot"".","Zeasorb AF (miconazole nitrate), 2%, cures most athlete's foot, Net wt. 2.5 OZ (71 g), Manufactured for: Steifel Laboratories, Inc., Research Triangle Park, NC 27709, UPC 0 73462 15065 1; NDC 0145-1506-01",20161123
D-0137-2025,Class II,CGMP deviations: the bulk product was rejected by the Quality Unit after routine inspection of the mixing vessel showed scratches on the sides and bottom of the mixing vessel. Product was to be rejected but was inadvertently released and shipped to customers.,"Gelato, Benzocaine 20% Topical Gel Anesthetic Gel, Net Wt. 1 oz. (30ml), Manufactured by Keystone Industries 480 S. Democrat Rd., Gibbstown, NJ 08027, NDC# 68400-352-30.",20241225
D-0180-2015,Class II,Lack of Sterility Assurance: All lots of sterile products compounded by the pharmacy that are not expired due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,"CEFTAZIDIME, 2.25mg/0.1mL, Injectable, 0.2 mL plastic syringe, RX, Creative Compounds, Wilsonville, OR 97070",20141112
D-1179-2016,Class II,Lack of Assurance of Sterility,"DEXPANTHENOL 250MG/ML W/PRES.  (BENZALKONIUM CHL 0.01%), 10ML Vials, MEDAUS PHARMACY",20160720
D-0875-2019,Class I,Microbial contamination,"Dr. King's SafeCare Rx Water Retention Control, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955027829, NDC 57955-0278-2",20190320
D-0382-2018,Class II,Cross Contamination With Other Products: Oral care solutions were manufactured by a third party supplier on equipment shared with non-pharmaceutical products,"Toothette Oral Care Suction Toothbrushes with Perox-A-Mint solution. Contains 2 Suction Toothbrushes with sodium bicarbonate, 0.25 fl oz/7ml Perox-A-Mint solution. Sage Products, Inc., 3909 Three Oaks Road, Cary, IL 60013. Product Code 6570",20180221
D-0646-2023,Class II,Lack of Assurance of Sterility,"FentaNYL 500 mcg (2mcg/mL) and Ropivacaine HCL 250 mg (0.1%) added to 250 mL 0.9% Sodium Chloride Injection, Rx Only, Apollo Care, LLC, 3801 Mojave Ct., Suite 101, Columbia, MO 65202. NDC 71170-950-25",20230524
D-535-2015,Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Belladonna Extract Powder active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",20150429
D-0935-2019,Class I,Microbial contamination,"NET Remedies #4 (Green Label) Homeopathic Preparation, Oral Liquid, 57 mL, Manufacturer: King Bio Inc. U.S.A., Supplier: NET (Australia) Pty LTD 428 Hume Street, Toowoomba QLD 4350, Australia",20190320
D-727-2015,Class II,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,"Ibuprofen active pharmaceutical ingredient packaged in varying grams or kg in bags or drums, Attix Pharmaceuticals, 184 Front Street East, Unit 801, Toronto, Ontario M5A 4N3, Canada",20150429
D-0451-2021,Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,NURTEC ODT (RIMEGEPANT) 75MG 8 BPK; NDC/UPC 72618-3000-2; RX; TABLETS FOR RAPID DISSOLUTION (NOT SUBLINGUAL),20210602
D-1198-2016,Class II,Lack of Assurance of Sterility,"L-GLUTATHIONE 100MG/ML (PF), 10 ML Vials,  MEDAUS PHARMACY",20160720
D-0264-2018,Class II,Subpotent Drug:The titratable iodine contained in the Povidone-Iodine prep pads  is below label claim of 0.85%.,"Medline Suture Removal Tray. Sterile.  Single use only.  Packaged in Mexico for Medline Industries, Inc., Mundelein, IL 60060",20180207
D-404-2014,Class II,Lack of Assurance of Sterility; All lots of sterile products compounded by the pharmacy within expiry are subject to this recall. This recall is initiated due to concerns associated with quality control procedures observed during a recent FDA inspection.,"Quad Mix Injectable, 5 mL, Rx Only, The Compounding Center at Blue Ridge, 2601 Blue Ridge Rd, Raleigh, NC 27607.",20140115
D-1007-2015,Class II,Lack of Assurance of Sterility and Stability Data does not Support Expiry: recent inspection observations associated with certain quality control procedures that present a risk to sterility and quality assurance.,"Glycerin 98.5% Opth. Solution, Health Innov Pharmacy, 295 Pinehurst Ave, Southern Pines, NC 28387, (910) 246-5155",20150520
D-1385-2016,Class II,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,"10 mcg/mL HYDROmorphone HCl and 0.075% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride, 250 mL in 250 mL Hospira LifeCare Bag, Service Code 2H8480, Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141, NDC 61553-480-50",20160727
D-0313-2025,Class II,Defective Container: blister packs not properly sealed resulting in tablets being loose in the carton.,"Sofosbuvir and Velpatasvir, 400 mg/100 mg tablets, 28 tablets: 2x14 blister cards, Rx Only, Manufactured for: Asegua Therapeutics LLC an affiliate of Gilead Sciences, Inc., Foster City, CA 94404, Made in Ireland, NDC# 72626-2701-1",20250416
D-0409-2018,Class II,Cross Contamination With Other Products: Oral care solutions were manufactured by a third party supplier on equipment shared with non-pharmaceutical products,"Q Care RX Oral Cleansing & Suctioning System with 0.12% Chlorhexidine Gluconate (CHG) Oral Rinse. Contains 1 Covered Yankauer and Y-Connector, 1 Untreated Suction Toothbrush packages, 1 Single dose bottle of 0.12% CHG Oral Rinse, 2 Suction Oral Swab packages with Perox-A-Mint, 1 Oropharyngeal Suction Catheter packages. Sage Products, Inc., 3909 Three Oaks Road, Cary, IL 60013. Product Code 9002  UPC 6 18029 83025 8",20180221
D-0747-2023,Class II,Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,"vasopressin 20 units added to 0.9% sodium chloride 100 mL*, 0.2 units/mL*, 100 mL per bag, Rx only, Central Admixture Pharmacy Services, Inc., 6580 Snowdrift Rd., Ste 100, Allentown, PA  18106, NDC 71285-9000-1.",20230531
D-521-2013,Class II,CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,"Cardec DM Drops,  Decongestant, Antihistamine, Antitussive, 1 fl oz. bottle, OTC, Manufactured for: Macoven Pharmaceuticals, Magnolia, TX 77354 NDC 44183-550-30",20130612
D-0410-2016,Class II,Lack of Assurance of Sterility,"Hydroxocobalamin 5000IU/mL Injection, Rx, Western Drug Inc. 106 E. Main Street, Springerville, Arizona 85938",20151209
D-0653-2018,Class II,Lack of Assurance Sterility: Firm is recalling various drug products due to a non-approved method of sterilization.,"Testosterone/Finasteride 60 mg/5 mg pellet Amber vial, Rx only, Partell Specialty Pharmacy, 5835 S. Eastern Ave. #101, Las Vegas, NV 89119 (702) 791-3800",20180425
D-0898-2017,Class II,GMP Deviation; A foreign stopper was observed during packaging of a lot of product.,"Levophed norepinephrine bitartrate, injection, USP, 4 mg /4 mL (1 mg/mL),Rx only,  Hospira, Inc. Lake Forest, IL --- NDC 0409-3375-04",20170621
D-0291-2019,Class II,cGMP violations noted during the firm's most recent inspection.,"SHEER DesenZ Desensitizing Treatment, Rx Only, Potassium Nitrate 12mg per film. CAO GROUP, INC, 4628 West Skyhawk Drive West Jordan, UT 84084. UPC: 8 72320 00072 1 NDC 1406000304",20181219
D-1221-2014,Class I,"Marketed Without An Approved NDA/ANDA: The product contains undeclared sibutramine and phenolphthalein. Marketed Without An Approved NDA/ANDA: The product contains undeclared sibutramine and phenolphthalein. Sibutramine and phenolphthalein are not currently marketed in the United States, making this product an unapproved new drug.","Magic Slim capsules (Ling Zhi, Ebony, Fox-nut, Tuckahoe, Seman Pruni, Dioscoreae, Wheat Germ, Nature Substance), 60-count bottles.",20140416
D-0111-2019,Class II,CGMP Deviations: products manufactured by contract manufacturer under conditions that could result in possible microbial contamination.,"AllergEase, Homeopathic Oral Spray, 1.38 fl. oz (41ml), Manufactured for Sprayology Gaithersburg. MD 20879. NDC 61096-0003-1",20181107
D-1580-2020,Class II,CGMP Deviations: Born Basic Anti Bac was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,"scent theory KEEP CLEAN Moisturizing Hand Sanitizer, 70% alcohol (Ethyl Alcohol 70%), 16.9 FL OZ/500 mL bottle, Distributed by Scent Theory Products, LLC New York, NY 10018. Made in Mexico, UPC 8 40038 21434 1",20200923
D-0798-2021,Class III,Failed Impurities/Degradation Specifications; out of specification for Related Compound,"Candesartan Cilexetil Tablets, USP 16 mg, 30 count bottles, Manufactured for: Mylan Pharmaceuticals Inc., Morgantown, WV 26505 NDC 0378-3231-93",20210922
D-181-2014,Class II,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,"Lipotropic 1.5ml PFS, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",20131211
D-0191-2019,Class II,Lack of Assurance of Sterility,"Tri-Mix Papaverine/Phentolamine/Alprostadil 150 mg/5 mg/50 mcg a) Injectable NDC 69699-1332-05 b) (LYO) Powder NDC 69699-1332-05, Pharm D Solutions, Houston, Texas",20181107
D-489-2013,Class II,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes.,"Renacidin Irrigation: 1000 ml,1120ml   Bladder Irrigation, 30 day expiration,",20130605
D-0229-2020,Class II,Lack of Assurance of Sterility,"S-HYDROGEN PEROXIDE 3% (PF) 30ML glass vial, Red Mountain Compounding RX",20191113
D-0484-2021,Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,EZETIMIBE AND SIMVASTATIN TABLETS 10-10MG 30; NDC/UPC 68462-321-30; RX; TABLETS,20210602
D-0019-2018,Class II,Lack of Assurance of Sterility.,"Hydromorphone HCl 10 mg (0.2mg/ml) 50 mL syringes in 0.9% Sodium Chloride, Rx Only,  Banner Health Compounding Pharmacy 7300 W Detroit St Chandler, AZ 95226, NDC 7025001001.",20171101
D-1848-2019,Class III,Failed Impurities/Degradation Specifications:OOS for unknown impurity.,"Gatifloxacin Ophthalmic Solution 0.5%, 2.5 mL per bottle, Rx Only, Mfd. for:  Mylan Pharmaceuticals Inc., Morgantown, WV 26505. Made in India. NDC: 0378-5431-35",20190918
D-081-2014,Class II,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,"Double Strength PGE1 40mcg/ml, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",20131211
D-916-2013,Class II,"cGMP Deviations; during the production process, CLENZIderm M.D. Daily Foam Cleanser was filled into some bottles labeled as CLENZIderm M.D. Pore Therapy","CLENZIderm M.D. Acne Therapeutic System Normal to Oily Skin kit, Distributed by OMP, Inc., Long Beach, CA 90806, Kit is comprised of: Daily Care Foaming Cleanser (Salicylic Acid 2%) NDC 62032-111; Pore Therapy (Salicylic Acid 2%) NDC 62032-110 and Therapeutic Lotion (Benzoyl Peroxide 5%) NDC 562032-113). Product under recall is the Pore Therapy (Salicylic Acid 2%), NDC 62032-110.",20130828
D-0431-2019,Class II,Lack of sterility assurance.,"Acetylcysteine Ophthalmic Solution, 100mg/ml, 10%, Rx only,  Promise Pharmacy Compounding Specialist, 31818 US Hwy 19N, Palm Harbor FL 34684.",20190220
D-0467-2021,Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,"Iron 100 with Vitamin C Tablets Dietary Supplement 100 Tablets NDC 60258-099-01 Distributed By: Cypress Pharmaceutical, Inc. 135 Industrial Blvd. Madison, MS 39110",20210602
D-243-2014,Class II,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,"Minoxidil 10% 60ml, Main Street Compounding Pharmacy, 126 East Main Street, Newbern, TN 38059, 888-658-6200",20131211
D-0690-2019,Class I,Microbial contamination,"Dr. King's SafeCare Rx Teething Children High Potency Homeopathic Formula for Professional Use Only, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955001829, NDC 57955-0018-2",20190320
